項目,キャラクター,詳細
セリフ,ケント,どんなトラブルもパウパトロールならパウフェクト！
セリフ,ケント,パウパトロール、パウステーションに集合！
セリフ,ケント,パウパトロール、出動！
セリフ,チェイス,パウパトロール、全員集合したぜ！
セリフ,チェイス,その任務、お任せだぜ！
セリフ,チェイス,オレの正義が騒ぐぜ！
セリフ,マーシャル,パウパウ、燃えてきたー！
セリフ,スカイ,ビュビューンとひとっ飛びよ〜！
セリフ,ロッキー,もちろんであーります！！
セリフ,ロッキー,くるくるくるくる、リサイクル〜！
セリフ,ロッキー,行くであります！
セリフ,ラブル,ブルっと任しとき～！
セリフ,ズーマ,ノッてノッてノッちゃうよ〜！
セリフ,エベレスト,超超超超がんばるっしょ～！！
セリフ,ケント,今回のトラブルも、パウっと解決！
セリフ,ケント,困ったことがあったらいつでもパウパトロールを呼んでね。
セリフ,トラッカー,おまかせアミーゴ！
情報,チェイス,チェイスは、ポリスカーをのりこなす、ジャーマンシェパードのしっかり者もの。まじめな性格で、きっちり任務をやりとげる。においをかぎわけたり、さきまわりして誘導できる。
情報,マーシャル,マーシャルは、ファイヤートラックをのりこなす、ダルメシアンのムードメーカー。はりきりすぎて失敗することもあるけれど、高いところや火にもおもいきってたちむかう。
情報,スカイ,スカイは、フライングヘリをのりこなす、コッカースパニエルのミックスで、おませでかしこい。スタイリッシュで、元気いっぱいに大空をとびまわる。
情報,ラブル,ラブルは、パワーブルドーザーをのりこなす、関西弁のブルドッグでユーモアのセンスにあふれている。工事作業が得意なはたらきもので、泥まみれになったからだを綺麗にするお風呂と音楽が大好き。
情報,ロッキー,ロッキーは、クリーンクルーザーをのりこなす、アイディアいっぱいミックスのがんばりやさん。いろいろなひらめきで、トラブルを解決するためのアイテムをリサイクルでつくりだす。
情報,ズーマ,ズーマは、ホバークラフトをのりこなす、およぎが得意なラブラドールでチームの最年少。前むきで、いつもたのしく任務に挑戦！水のことならなんでもお任せ。
情報,エベレスト,エベレストは、スノーキャットをのりこなす、元気いっぱいのハスキーで楽しいことが大好き。ジェイクと一緒に雪山に住んでいて、雪のトラブルで大活躍。
情報,トラッカー,トラッカーは、ジャングルクルーザーをのりこなす、無邪気で勇敢なチワワで、カルロスと一緒にジャングルに住み探検をしている。遠くの音までよく聞きこえて、探すのが得意。
情報,ケント,ケントは、ダッシュバギーをのりこなす、パウ・パトロールのリーダー。街のみんなのトラブルにすぐにかけつけ、パウ・パトロールといっしょに解決する10歳の男の子。
