ID,場面,ついしてしまう声掛け・子育ての悩み,子育てアドバイス・望ましい言い換え
1,おしたく,はやく外に出て！,玄関で交通カードをピッ！
2,おしたく,なんで靴下をはかないの？,コツは足の指を動かすこと
3,おしたく,なんで靴下をはかないの？,座れる台を作る
4,おしたく,靴をそろえて！,靴を置く場所にシールを貼る
5,おしたく,なんでお着換えしないの？,大人の立ち位置で、着替えが上達する
6,おしたく,お着換えして！,着る服を自分で選ばせてあげる
7,おしたく,頼むからお着換えして！,まずママの服を選んでもらう
8,おしたく,お着換えがうまくできない！,シュシュを使う
9,おしたく,おしたくが遅い！,丁寧なだけかもしれない
10,おしたく,ひとりでおしたくして！,大人は自分の実況をしよう
11,お片付け,おもちゃ片づけて！,片づけた物の数を言う
12,お片付け,全部片づけて！,ひとつずつやらせる
13,お片付け,お片付けが遅い！,バケツリレー方式を試す
14,お片付け,おもちゃ出しすぎ！,いるものを選んでかたづける
15,お片付け,遊ぶのやめて！,片づけてほしいときこそ、楽しさを認める
16,お片付け,遊びに集中してたら？,あとで続きができるようにする
17,お片付け,ご飯になったらお片付けだよ！,こどもにしてほしいことは一緒に練習しておく
18,お片付け,お片付けして！,子供を主人公にしてストーリーを実況する
19,お片付け,今すぐお片付けして！,思いつきの歌にやってほしいことを盛り込む
20,お片付け,片づけてって言っているのに！,「してほしいこと」と「理由」を分けて話す
21,お食事,ご飯食べて！,スマホで自撮りを使う
22,お食事,ご飯だよ～,チケット制にする
23,お食事,好き嫌いしないで！,伝説の〇〇作戦！で克服させる
24,お食事,野菜を食べて！,出す順番を変えるだけでおいしくなる
25,お食事,ひと口だけ食べてみて！,調理前の状態を知るとポジティブに向き合える
26,お食事,食事が進まない！,試食コーナーごっこをする
27,お食事,食べるの止まった,おにぎりにする、小さく切る、楽しい気分にさせる
28,お食事,あとひとくち食べて！,大切なのは、食事を楽しめること
29,お食事,音を立てて食べないで！,鼻づまりなど、意外な原因があるかも
30,お食事,お薬飲んで！,薬を口に入れた後、ストローで水を飲むと簡単
31,起こす・寝かす,朝だよ！,起きるだけで誰かが喜んでくれることを伝える
32,起こす・寝かす,はやく起きて！,電車が出発しまーす！
33,起こす・寝かす,寝起きが悪い,あとの楽しみがあるとうまくいく
34,起こす・寝かす,はやく寝て！,呼吸を合わせて添い寝する
35,起こす・寝かす,トントンしても寝ない！,前髪を前から後ろになでる
36,起こす・寝かす,体を動かしても寝ない！,頭を使う遊びをしてみる
37,しつけ,スマホはどうする？,チケット制にする（１日１枚、１枚１５分）
38,しつけ,手洗いして！,手洗い屋さんオープン！
39,しつけ,なんで手洗いしないの！,大人が後ろに立つ
40,しつけ,歯磨きして！,遊びの中で歯ブラシに慣れておく
41,しつけ,歯磨き大事だね！,海苔ご飯の後の歯を見せる
42,しつけ,静かに話して！,アリさんの声でという
43,しつけ,姿勢よくして！,プリンセスと執事作戦
44,しつけ,飛び出し注意！,いざというときに道路で止まれる練習（ストップ！）を部屋でしておく
45,しつけ,部屋で走らないで！,その場ジャンプ＆駆け足。回数を数えてあげる
46,しつけ,投げないで！,投げていいものを投げさせる
47,しつけ,順番こね！,順番は必ず来ることを教える
48,しつけ,嘘をついちゃダメ！,嘘がバレていることを教える
49,しつけ,あやまりなさい！,「ごめんなさい」を無理強いしない。悪かったと思わせる
50,しつけ,どうやってやめさせよう？,叱られない環境を事前に作る。登れないようしておくなど
51,遊び・お友達,絵本を最後まで読んで～,２回に分けて読んでみる
52,遊び・お友達,休日何する？,インスタントカメラで遊ばせる
53,遊び・お友達,こどもとお絵描きをしたい,ほっぺたに描く
54,遊び・お友達,折り紙の茶色だけ余る,木の〇〇だよ、と伝える
55,遊び・お友達,ちょっとした遊びがしたいとき,変顔、口笛、指ぱっちんなどのゲームをする
56,遊び・お友達,すきま時間にできる遊びは？,何本の指で押しているでしょうか？ゲームをする
57,遊び・お友達,こどもにもっと話してほしい,電話ごっこ
58,遊び・お友達,家でできる学びは？,お手伝いデビュー、料理
59,遊び・お友達,おもちゃを貸してあげて！,このおもちゃのどんなところが好き？
60,遊び・お友達,人にものを頼むには？,一緒にやったからできたね！と伝える
61,遊び・お友達,お友達と遊んでほしい！,そう見えないだけかもしれない
62,遊び・お友達,いつも一人で遊んでいる,あせらず見守ろう
63,遊び・お友達,お友達とトラブル！,加害者、被害者を決めない
64,伝え方,水たまりに入らないで！,スマホで水たまりを撮影して後で見る
65,伝え方,はやくやって！,先にスキンシップをする
66,伝え方,〇〇しなさい！,やることを前提に親が「手伝うね」という
67,伝え方,ちゃんとしなさい！,優しく具体的に言い換える
68,伝え方,挨拶しなさい！,習慣づけるステップをとる。小さな声で挨拶するゲームにする
69,伝え方,いつまで遊んでいるの？,〇〇してくれたら嬉しいな、と伝える
70,伝え方,約束したのに！,約束を守っている状態を認める
71,伝え方,ちょっと待って！,楽しみだねーと言い換える
72,伝え方,わかった？,「今からお話するね」と言ってから説明する
73,伝え方,ちゃんと聞いて！,名前を読んでから話す
